Дата продажи,Название курса,Цена$,Кол-во,Всего
"Aug 15, 2023",Python For Beginners,50,3.0,150
15/08/2023,Буткемп по Data Science,200,5.0,1000
"Aug 15, 2023",Web Dev 101,80,3.0,240
"Aug 15, 2023",machine learning advanced,250,9.0,2250
"Aug 15, 2023",sql-cc,60,4.0,240
16/08/2023,python for beginners,50,3.0,150
2023-08-16,Буткемп по Data Science,200,4.0,800
2023-08-16,веб разработка,80,5.0,400
16/08/2023,ML (уровень 2),250,5.0,1250
2023/08/16,Быстрый курс SQL,60,,480
17/08/2023,python for beginners,50,9.0,450
"Aug 17, 2023",Буткемп по Data Science,200,5.0,1000
17.08.23,веб разработка,80,5.0,400
"Aug 17, 2023",Machine Learning ADV,250,1.0,250
17.08.23,SQL-Курс,60,8.0,480
"Aug 18, 2023",PYTHON-BEGINNERS,50,4.0,200
2023-08-18,data science bootcamp,200,7.0,1400
18.08.23,WEB DEVELOPMENT,80,3.0,240
2023/08/18,ML (уровень 2),250,4.0,1000
"Aug 18, 2023",Быстрый курс SQL,60,9.0,540
19.08.23,PYTHON-BEGINNERS,50,3.0,150
19/08/2023,Данные.Наука,200,3.0,600
19.08.23,Web Dev 101,80,3.0,240
19/08/2023,ML (уровень 2),250,3.0,750
"Aug 19, 2023",SQL БАЗОВЫЙ,60,7.0,420
20/08/2023,python for beginners,50,2.0,100
"Aug 20, 2023",DS Boot,200,6.0,1200
20.08.23,Web-разработка,80,1.0,80
2023/08/20,Machine Learning ADV,250,9.0,2250
2023/08/20,Быстрый курс SQL,60,6.0,360
21.08.23,PYTHON-BEGINNERS,50,5.0,250
21.08.23,data science bootcamp,200,4.0,800
21.08.23,Web Dev 101,80,5.0,400
2023-08-21,Продвинутый ML,250,7.0,1750
2023-08-21,SQL-Курс,60,2.0,120
22.08.23,python for beginners,50,5.0,250
2023-08-22,data science bootcamp,200,4.0,800
"Aug 22, 2023",web_dev,80,4.0,320
2023-08-22,ML (уровень 2),250,3.0,750
2023-08-22,SQL БАЗОВЫЙ,60,6.0,360
2023/08/23,PYTHON-BEGINNERS,50,4.0,200
23.08.23,Data Science BOOTCAMP,200,8.0,1600
2023/08/23,web_dev,80,4.0,320
23/08/2023,Продвинутый ML,250,4.0,1000
23/08/2023,sql crash course,60,5.0,300
2023-08-24,Питон для начинающих,50,6.0,300
2023/08/24,DS Boot,200,5.0,1000
2023/08/24,WEB DEVELOPMENT,80,7.0,560
24.08.23,Продвинутый ML,250,4.0,1000
2023-08-24,Быстрый курс SQL,60,4.0,240
2023/08/25,PYTHON-BEGINNERS,50,2.0,100
25/08/2023,Данные.Наука,200,3.0,600
"Aug 25, 2023",веб разработка,80,5.0,400
"Aug 25, 2023",Продвинутый ML,250,6.0,1500
2023/08/25,Быстрый курс SQL,60,6.0,360
26/08/2023,PYTHON-BEGINNERS,50,7.0,350
"Aug 26, 2023",DS Boot,200,3.0,600
26/08/2023,Web-разработка,80,5.0,400
26.08.23,ML (уровень 2),250,6.0,1500
26/08/2023,SQL БАЗОВЫЙ,60,7.0,420
27/08/2023,PYTHON-BEGINNERS,50,5.0,250
2023-08-27,Данные.Наука,200,7.0,1400
"Aug 27, 2023",WEB DEVELOPMENT,80,2.0,160
27/08/2023,ML (уровень 2),250,4.0,1000
"Aug 27, 2023",SQL БАЗОВЫЙ,60,8.0,480
28/08/2023,Python For Beginners,50,6.0,300
2023-08-28,Data Science BOOTCAMP,200,8.0,1600
2023/08/28,Web Dev 101,80,7.0,560
2023-08-28,Machine Learning ADV,250,3.0,750
"Aug 28, 2023",sql-cc,60,4.0,240
"Aug 29, 2023",Python нач,50,5.0,250
29/08/2023,data science bootcamp,200,1.0,200
2023-08-29,Web-разработка,80,8.0,640
29/08/2023,машинное обучение+,250,4.0,1000
29/08/2023,sql crash course,60,4.0,240
30/08/2023,Питон для начинающих,50,6.0,300
2023-08-30,Буткемп по Data Science,200,7.0,1400
30/08/2023,web_dev,80,3.0,240
2023/08/30,Продвинутый ML,250,10.0,2500
"Aug 30, 2023",Быстрый курс SQL,60,1.0,60
"Aug 31, 2023",Python нач,50,4.0,200
31.08.23,DS Boot,200,6.0,1200
2023-08-31,Web-разработка,80,3.0,240
2023/08/31,Продвинутый ML,250,6.0,1500
2023-08-31,SQL-Курс,60,8.0,480
"Sep 01, 2023",Python For Beginners,50,15.0,750
"Sep 01, 2023",Data Science BOOTCAMP,200,21.0,4200
2023/09/01,веб разработка,80,18.0,1440
"Sep 01, 2023",машинное обучение+,250,11.0,2750
2023/09/01,Быстрый курс SQL,60,21.0,1260
02.09.23,python for beginners,50,15.0,750
02/09/2023,Буткемп по Data Science,200,10.0,2000
02.09.23,веб разработка,80,16.0,1280
"Sep 02, 2023",машинное обучение+,250,11.0,2750
"Sep 02, 2023",sql crash course,60,22.0,1320
03/09/2023,Питон для начинающих,50,,750
2023/09/03,Буткемп по Data Science,200,,3400
03/09/2023,WEB DEVELOPMENT,80,11.0,880
03/09/2023,машинное обучение+,250,17.0,4250
03.09.23,sql-cc,60,8.0,480
2023-09-04,Python нач,50,18.0,900
"Sep 04, 2023",Буткемп по Data Science,200,12.0,2400
2023-09-04,WEB DEVELOPMENT,80,12.0,960
"Sep 04, 2023",машинное обучение+,250,26.0,6500
2023-09-04,sql crash course,60,19.0,1140
05/09/2023,PYTHON-BEGINNERS,50,19.0,950
"Sep 05, 2023",Буткемп по Data Science,200,,3200
05/09/2023,Web Dev 101,80,14.0,1120
"Sep 05, 2023",Продвинутый ML,250,18.0,4500
05.09.23,SQL БАЗОВЫЙ,60,21.0,1260
06.09.23,Питон для начинающих,50,11.0,550
2023/09/06,Data Science BOOTCAMP,200,6.0,1200
2023/09/06,Web-разработка,80,16.0,1280
2023-09-06,machine learning advanced,250,25.0,6250
06.09.23,SQL-Курс,60,22.0,1320
2023-09-07,PYTHON-BEGINNERS,50,14.0,700
2023-09-07,DS Boot,200,17.0,3400
07/09/2023,Web Dev 101,80,15.0,1200
07.09.23,machine learning advanced,250,11.0,2750
07.09.23,Быстрый курс SQL,60,15.0,900
08/09/2023,python for beginners,50,12.0,600
2023/09/08,Буткемп по Data Science,200,14.0,2800
"Sep 08, 2023",Web-разработка,80,15.0,1200
2023/09/08,machine learning advanced,250,14.0,3500
"Sep 08, 2023",Быстрый курс SQL,60,9.0,540
"Sep 09, 2023",Python нач,50,20.0,1000
09/09/2023,data science bootcamp,200,9.0,1800
2023-09-09,Web Dev 101,80,19.0,1520
09/09/2023,Machine Learning ADV,250,12.0,3000
2023-09-09,sql-cc,60,10.0,600
10.09.23,Питон для начинающих,50,10.0,500
"Sep 10, 2023",Буткемп по Data Science,200,17.0,3400
"Sep 10, 2023",Web Dev 101,80,15.0,1200
10.09.23,ML (уровень 2),250,15.0,3750
"Sep 10, 2023",Быстрый курс SQL,60,15.0,900
2023-09-11,Python нач,50,14.0,700
11.09.23,DS Boot,200,16.0,3200
2023-09-11,Web-разработка,80,15.0,1200
11/09/2023,машинное обучение+,250,13.0,3250
"Sep 11, 2023",SQL-Курс,60,13.0,780
2023/09/12,Питон для начинающих,50,15.0,750
"Sep 12, 2023",Data Science BOOTCAMP,200,13.0,2600
"Sep 12, 2023",WEB DEVELOPMENT,80,14.0,1120
2023/09/12,Machine Learning ADV,250,17.0,4250
12/09/2023,sql crash course,60,18.0,1080
2023-09-13,Python For Beginners,50,11.0,550
2023/09/13,data science bootcamp,200,20.0,4000
2023/09/13,WEB DEVELOPMENT,80,13.0,1040
2023/09/13,machine learning advanced,250,21.0,5250
2023/09/13,SQL-Курс,60,15.0,900
2023-09-14,PYTHON-BEGINNERS,50,15.0,750
14.09.23,DS Boot,200,12.0,2400
2023/09/14,Web-разработка,80,9.0,720
2023/09/14,Machine Learning ADV,250,15.0,3750
"Sep 14, 2023",sql crash course,60,12.0,720
"Sep 15, 2023",PYTHON-BEGINNERS,50,15.0,750
15.09.23,data science bootcamp,200,9.0,1800
"Sep 15, 2023",WEB DEVELOPMENT,80,17.0,1360
"Sep 15, 2023",ML (уровень 2),250,13.0,3250
15.09.23,SQL-Курс,60,19.0,1140
2023/09/16,Python нач,50,15.0,750
16/09/2023,data science bootcamp,200,16.0,3200
2023-09-16,Web-разработка,80,7.0,560
2023/09/16,machine learning advanced,250,18.0,4500
2023/09/16,sql-cc,60,19.0,1140
"Sep 17, 2023",Питон для начинающих,50,12.0,600
2023-09-17,Буткемп по Data Science,200,15.0,3000
17.09.23,Web-разработка,80,7.0,560
2023/09/17,machine learning advanced,250,16.0,4000
"Sep 17, 2023",SQL БАЗОВЫЙ,60,15.0,900
18/09/2023,Python For Beginners,50,11.0,550
2023-09-18,Data Science BOOTCAMP,200,16.0,3200
18/09/2023,Web-разработка,80,27.0,2160
18.09.23,ML (уровень 2),250,,4750
2023/09/18,sql-cc,60,,600
19.09.23,PYTHON-BEGINNERS,50,17.0,850
19/09/2023,data science bootcamp,200,20.0,4000
19.09.23,Web Dev 101,80,17.0,1360
19/09/2023,Machine Learning ADV,250,17.0,4250
19/09/2023,sql crash course,60,12.0,720
2023/09/20,Python нач,50,10.0,500
"Sep 20, 2023",Данные.Наука,200,18.0,3600
2023-09-20,WEB DEVELOPMENT,80,13.0,1040
"Sep 20, 2023",Machine Learning ADV,250,11.0,2750
20/09/2023,SQL БАЗОВЫЙ,60,16.0,960
2023-09-21,Python For Beginners,50,18.0,900
21.09.23,Data Science BOOTCAMP,200,21.0,4200
2023-09-21,Web-разработка,80,13.0,1040
"Sep 21, 2023",ML (уровень 2),250,9.0,2250
21/09/2023,sql-cc,60,18.0,1080
22/09/2023,Питон для начинающих,50,8.0,400
"Sep 22, 2023",Буткемп по Data Science,200,13.0,2600
22.09.23,web_dev,80,16.0,1280
2023/09/22,machine learning advanced,250,19.0,4750
2023-09-22,Быстрый курс SQL,60,20.0,1200
23/09/2023,Питон для начинающих,50,20.0,1000
2023/09/23,Data Science BOOTCAMP,200,9.0,1800
23.09.23,веб разработка,80,13.0,1040
2023/09/23,Продвинутый ML,250,16.0,4000
23/09/2023,sql-cc,60,12.0,720
24.09.23,python for beginners,50,11.0,550
2023-09-24,Data Science BOOTCAMP,200,18.0,3600
24/09/2023,WEB DEVELOPMENT,80,16.0,1280
2023/09/24,Machine Learning ADV,250,10.0,2500
2023/09/24,sql-cc,60,13.0,780
"Sep 25, 2023",Python нач,50,13.0,650
2023-09-25,DS Boot,200,13.0,2600
25.09.23,веб разработка,80,15.0,1200
25.09.23,Продвинутый ML,250,14.0,3500
2023-09-25,sql-cc,60,15.0,900
2023-09-26,python for beginners,50,15.0,750
2023-09-26,DS Boot,200,18.0,3600
"Sep 26, 2023",Web Dev 101,80,15.0,1200
2023/09/26,Machine Learning ADV,250,8.0,2000
2023-09-26,SQL БАЗОВЫЙ,60,14.0,840
"Sep 27, 2023",Питон для начинающих,50,15.0,750
27/09/2023,data science bootcamp,200,18.0,3600
"Sep 27, 2023",Web-разработка,80,14.0,1120
2023/09/27,машинное обучение+,250,17.0,4250
27/09/2023,sql crash course,60,14.0,840
"Sep 28, 2023",Python For Beginners,50,17.0,850
2023-09-28,data science bootcamp,200,15.0,3000
28.09.23,веб разработка,80,17.0,1360
2023/09/28,ML (уровень 2),250,12.0,3000
28/09/2023,SQL-Курс,60,16.0,960
2023-09-29,Python For Beginners,50,15.0,750
"Sep 29, 2023",Data Science BOOTCAMP,200,13.0,2600
2023-09-29,веб разработка,80,11.0,880
29.09.23,ML (уровень 2),250,21.0,5250
2023-09-29,SQL-Курс,60,14.0,840
2023/09/30,Питон для начинающих,50,18.0,900
2023/09/30,DS Boot,200,9.0,1800
2023-09-30,веб разработка,80,12.0,960
2023-09-30,Machine Learning ADV,250,14.0,3500
2023/09/30,sql crash course,60,20.0,1200
2023/10/01,Python For Beginners,50,13.0,650
2023/10/01,Данные.Наука,200,23.0,4600
01/10/2023,Web-разработка,80,20.0,1600
01.10.23,machine learning advanced,250,,3500
"Oct 01, 2023",sql crash course,60,18.0,1080
02/10/2023,Питон для начинающих,50,15.0,750
02.10.23,DS Boot,200,14.0,2800
02.10.23,web_dev,80,18.0,1440
2023/10/02,Machine Learning ADV,250,20.0,5000
02.10.23,sql-cc,60,16.0,960
"Oct 03, 2023",Питон для начинающих,50,10.0,500
2023-10-03,Буткемп по Data Science,200,15.0,3000
"Oct 03, 2023",Web Dev 101,80,14.0,1120
03.10.23,машинное обучение+,250,11.0,2750
03.10.23,SQL-Курс,60,12.0,720
04.10.23,Питон для начинающих,50,12.0,600
2023-10-04,Буткемп по Data Science,200,15.0,3000
2023-10-04,Web-разработка,80,18.0,1440
2023/10/04,machine learning advanced,250,15.0,3750
"Oct 04, 2023",Быстрый курс SQL,60,10.0,600
05/10/2023,Python For Beginners,50,16.0,800
05/10/2023,data science bootcamp,200,14.0,2800
"Oct 05, 2023",Web-разработка,80,16.0,1280
2023-10-05,Продвинутый ML,250,10.0,2500
2023-10-05,sql-cc,60,11.0,660
2023/10/06,Python нач,50,21.0,1050
2023-10-06,DS Boot,200,15.0,3000
06.10.23,Web-разработка,80,10.0,800
2023-10-06,ML (уровень 2),250,19.0,4750
2023/10/06,sql crash course,60,19.0,1140
2023-10-07,Python нач,50,22.0,1100
07.10.23,Data Science BOOTCAMP,200,12.0,2400
2023-10-07,веб разработка,80,14.0,1120
2023/10/07,Продвинутый ML,250,12.0,3000
07/10/2023,sql crash course,60,16.0,960
2023/10/08,Python For Beginners,50,,700
2023/10/08,data science bootcamp,200,16.0,3200
"Oct 08, 2023",WEB DEVELOPMENT,80,18.0,1440
08/10/2023,машинное обучение+,250,12.0,3000
2023/10/08,Быстрый курс SQL,60,16.0,960
09/10/2023,Python For Beginners,50,17.0,850
2023/10/09,data science bootcamp,200,70.0,14000
2023/10/09,web_dev,80,22.0,1760
2023/10/09,машинное обучение+,250,16.0,4000
2023/10/09,SQL-Курс,60,18.0,1080
"Oct 10, 2023",Python нач,50,14.0,700
10/10/2023,Data Science BOOTCAMP,200,11.0,2200
2023/10/10,WEB DEVELOPMENT,80,13.0,1040
2023/10/10,машинное обучение+,250,18.0,4500
2023/10/10,SQL-Курс,60,16.0,960
"Oct 11, 2023",Python нач,50,13.0,650
11/10/2023,DS Boot,200,9.0,1800
2023/10/11,Web Dev 101,80,22.0,1760
2023/10/11,machine learning advanced,250,18.0,4500
"Oct 11, 2023",sql crash course,60,9.0,540
2023/10/12,Питон для начинающих,50,13.0,650
2023-10-12,data science bootcamp,200,9.0,1800
"Oct 12, 2023",WEB DEVELOPMENT,80,15.0,1200
"Oct 12, 2023",Machine Learning ADV,250,19.0,4750
12.10.23,SQL-Курс,60,17.0,1020
13.10.23,Python For Beginners,50,17.0,850
2023-10-13,Буткемп по Data Science,200,13.0,2600
13.10.23,Web Dev 101,80,8.0,640
13.10.23,machine learning advanced,250,19.0,4750
13.10.23,Быстрый курс SQL,60,12.0,720
2023/10/14,Python For Beginners,50,21.0,1050
2023/10/14,Data Science BOOTCAMP,200,9.0,1800
14.10.23,веб разработка,80,11.0,880
2023/10/14,Продвинутый ML,250,12.0,3000
2023/10/14,SQL-Курс,60,12.0,720
"Oct 15, 2023",Python нач,50,13.0,650
2023-10-15,Данные.Наука,200,18.0,3600
"Oct 15, 2023",WEB DEVELOPMENT,80,10.0,800
"Oct 15, 2023",ML (уровень 2),250,19.0,4750
"Oct 15, 2023",SQL-Курс,60,10.0,600
"Oct 16, 2023",PYTHON-BEGINNERS,50,12.0,600
16.10.23,Data Science BOOTCAMP,200,17.0,3400
"Oct 16, 2023",Web-разработка,80,13.0,1040
2023-10-16,ML (уровень 2),250,13.0,3250
16.10.23,sql-cc,60,11.0,660
2023/10/17,Python нач,50,16.0,800
2023-10-17,DS Boot,200,13.0,2600
"Oct 17, 2023",веб разработка,80,16.0,1280
17/10/2023,машинное обучение+,250,13.0,3250
17/10/2023,SQL БАЗОВЫЙ,60,22.0,1320
2023-10-18,Python нач,50,21.0,1050
18.10.23,Data Science BOOTCAMP,200,17.0,3400
2023-10-18,WEB DEVELOPMENT,80,14.0,1120
18.10.23,Machine Learning ADV,250,12.0,3000
"Oct 18, 2023",Быстрый курс SQL,60,14.0,840
2023/10/19,PYTHON-BEGINNERS,50,13.0,650
2023/10/19,Data Science BOOTCAMP,200,19.0,3800
19/10/2023,Web Dev 101,80,22.0,1760
19.10.23,ML (уровень 2),250,23.0,5750
19/10/2023,sql crash course,60,16.0,960
20.10.23,Питон для начинающих,50,14.0,700
2023-10-20,data science bootcamp,200,65.0,13000
20/10/2023,веб разработка,80,14.0,1120
20.10.23,машинное обучение+,250,12.0,3000
2023/10/20,sql-cc,60,12.0,720
2023/10/21,PYTHON-BEGINNERS,50,20.0,1000
2023/10/21,DS Boot,200,20.0,4000
"Oct 21, 2023",веб разработка,80,14.0,1120
2023-10-21,machine learning advanced,250,7.0,1750
2023/10/21,SQL-Курс,60,15.0,900
2023/10/22,Python нач,50,16.0,800
2023/10/22,data science bootcamp,200,14.0,2800
"Oct 22, 2023",Web-разработка,80,13.0,1040
22.10.23,ML (уровень 2),250,7.0,1750
"Oct 22, 2023",SQL-Курс,60,15.0,900
2023-10-23,Python нач,50,18.0,900
"Oct 23, 2023",DS Boot,200,13.0,2600
23.10.23,web_dev,80,15.0,1200
23/10/2023,Продвинутый ML,250,,5500
"Oct 23, 2023",sql-cc,60,15.0,900
2023-10-24,Python нач,50,26.0,1300
2023-10-24,data science bootcamp,200,11.0,2200
2023/10/24,веб разработка,80,14.0,1120
24/10/2023,машинное обучение+,250,15.0,3750
"Oct 24, 2023",SQL БАЗОВЫЙ,60,10.0,600
25/10/2023,Питон для начинающих,50,,1050
"Oct 25, 2023",Данные.Наука,200,11.0,2200
25/10/2023,веб разработка,80,16.0,1280
2023-10-25,Machine Learning ADV,250,18.0,4500
2023-10-25,SQL-Курс,60,16.0,960
2023-10-26,python for beginners,50,17.0,850
"Oct 26, 2023",Буткемп по Data Science,200,24.0,4800
2023-10-26,WEB DEVELOPMENT,80,13.0,1040
26/10/2023,Продвинутый ML,250,15.0,3750
26/10/2023,sql-cc,60,13.0,780
27/10/2023,python for beginners,50,11.0,550
"Oct 27, 2023",data science bootcamp,200,12.0,2400
27/10/2023,Web-разработка,80,13.0,1040
27.10.23,machine learning advanced,250,22.0,5500
27/10/2023,SQL БАЗОВЫЙ,60,10.0,600
"Oct 28, 2023",Python For Beginners,50,14.0,700
"Oct 28, 2023",Буткемп по Data Science,200,19.0,3800
2023-10-28,web_dev,80,14.0,1120
"Oct 28, 2023",ML (уровень 2),250,12.0,3000
2023/10/28,Быстрый курс SQL,60,15.0,900
"Oct 29, 2023",Python For Beginners,50,11.0,550
29.10.23,data science bootcamp,200,11.0,2200
2023/10/29,Web Dev 101,80,16.0,1280
29.10.23,машинное обучение+,250,6.0,1500
29/10/2023,sql-cc,60,16.0,960
30.10.23,Python нач,50,17.0,850
30.10.23,Данные.Наука,200,13.0,2600
"Oct 30, 2023",Web Dev 101,80,15.0,1200
30/10/2023,ML (уровень 2),250,15.0,3750
2023-10-30,SQL-Курс,60,20.0,1200
"Oct 31, 2023",Python For Beginners,50,16.0,800
2023-10-31,Буткемп по Data Science,200,12.0,2400
"Oct 31, 2023",веб разработка,80,18.0,1440
2023-10-31,ML (уровень 2),250,13.0,3250
2023/10/31,sql-cc,60,15.0,900
2023-11-01,python for beginners,50,17.0,850
2023-11-01,DS Boot,200,20.0,4000
2023/11/01,WEB DEVELOPMENT,80,15.0,1200
2023/11/01,machine learning advanced,250,7.0,1750
"Nov 01, 2023",SQL БАЗОВЫЙ,60,14.0,840
"Nov 02, 2023",Питон для начинающих,50,18.0,900
02.11.23,data science bootcamp,200,15.0,3000
02.11.23,WEB DEVELOPMENT,80,20.0,1600
02.11.23,машинное обучение+,250,15.0,3750
02.11.23,sql crash course,60,23.0,1380
2023/11/03,Питон для начинающих,50,16.0,800
2023-11-03,Data Science BOOTCAMP,200,13.0,2600
03/11/2023,Web-разработка,80,11.0,880
2023/11/03,машинное обучение+,250,13.0,3250
03.11.23,SQL-Курс,60,11.0,660
"Nov 04, 2023",Питон для начинающих,50,12.0,600
2023-11-04,DS Boot,200,20.0,4000
"Nov 04, 2023",Web Dev 101,80,13.0,1040
2023/11/04,ML (уровень 2),250,19.0,4750
2023/11/04,sql-cc,60,14.0,840
"Nov 05, 2023",PYTHON-BEGINNERS,50,12.0,600
05.11.23,DS Boot,200,14.0,2800
"Nov 05, 2023",WEB DEVELOPMENT,80,14.0,1120
2023-11-05,Machine Learning ADV,250,19.0,4750
05/11/2023,sql-cc,60,14.0,840
"Nov 06, 2023",Питон для начинающих,50,11.0,550
"Nov 06, 2023",DS Boot,200,15.0,3000
06.11.23,Web-разработка,80,15.0,1200
2023-11-06,machine learning advanced,250,12.0,3000
06.11.23,SQL-Курс,60,23.0,1380
2023/11/07,Python For Beginners,50,18.0,900
07.11.23,Data Science BOOTCAMP,200,10.0,2000
2023-11-07,WEB DEVELOPMENT,80,14.0,1120
07.11.23,Machine Learning ADV,250,15.0,3750
07/11/2023,Быстрый курс SQL,60,17.0,1020
2023/11/08,python for beginners,50,13.0,650
2023/11/08,data science bootcamp,200,15.0,3000
2023/11/08,WEB DEVELOPMENT,80,17.0,1360
08/11/2023,ML (уровень 2),250,,2000
2023/11/08,SQL БАЗОВЫЙ,60,17.0,1020
2023-11-09,PYTHON-BEGINNERS,50,16.0,800
09.11.23,Буткемп по Data Science,200,60.0,12000
2023/11/09,Web Dev 101,80,16.0,1280
"Nov 09, 2023",Machine Learning ADV,250,20.0,5000
2023-11-09,SQL БАЗОВЫЙ,60,22.0,1320
2023/11/10,python for beginners,50,15.0,750
2023-11-10,DS Boot,200,8.0,1600
10/11/2023,Web Dev 101,80,21.0,1680
2023/11/10,машинное обучение+,250,20.0,5000
2023/11/10,SQL-Курс,60,8.0,480
11.11.23,Питон для начинающих,50,23.0,1150
11/11/2023,DS Boot,200,17.0,3400
2023-11-11,веб разработка,80,16.0,1280
11/11/2023,ML (уровень 2),250,23.0,5750
2023/11/11,sql-cc,60,11.0,660
2023/11/12,python for beginners,50,18.0,900
2023/11/12,Data Science BOOTCAMP,200,21.0,4200
12.11.23,web_dev,80,15.0,1200
12.11.23,Machine Learning ADV,250,16.0,4000
2023-11-12,SQL-Курс,60,16.0,960
"Nov 13, 2023",PYTHON-BEGINNERS,50,14.0,700
13/11/2023,Буткемп по Data Science,200,15.0,3000
13.11.23,Web-разработка,80,18.0,1440
"Nov 13, 2023",Продвинутый ML,250,11.0,2750
2023-11-13,sql-cc,60,14.0,840
14.11.23,python for beginners,50,12.0,600
14/11/2023,Данные.Наука,200,14.0,2800
"Nov 14, 2023",WEB DEVELOPMENT,80,16.0,1280
2023/11/14,Продвинутый ML,250,11.0,2750
14/11/2023,SQL-Курс,60,10.0,600
"Nov 15, 2023",Питон для начинающих,50,23.0,1150
15/11/2023,Data Science BOOTCAMP,200,15.0,3000
2023-11-15,Web-разработка,80,11.0,880
2023-11-15,ML (уровень 2),250,14.0,3500
2023/11/15,sql crash course,60,11.0,660
"Nov 16, 2023",PYTHON-BEGINNERS,50,10.0,500
16.11.23,DS Boot,200,12.0,2400
"Nov 16, 2023",Web-разработка,80,20.0,1600
"Nov 16, 2023",машинное обучение+,250,14.0,3500
16/11/2023,sql-cc,60,13.0,780
2023/11/17,PYTHON-BEGINNERS,50,20.0,1000
2023-11-17,Буткемп по Data Science,200,10.0,2000
2023-11-17,Web-разработка,80,20.0,1600
17/11/2023,Продвинутый ML,250,13.0,3250
17.11.23,SQL-Курс,60,14.0,840
"Nov 18, 2023",PYTHON-BEGINNERS,50,17.0,850
18/11/2023,Data Science BOOTCAMP,200,8.0,1600
2023/11/18,веб разработка,80,15.0,1200
18/11/2023,машинное обучение+,250,25.0,6250
18/11/2023,SQL-Курс,60,14.0,840
19.11.23,python for beginners,50,9.0,450
19.11.23,Данные.Наука,200,16.0,3200
19.11.23,web_dev,80,16.0,1280
"Nov 19, 2023",ML (уровень 2),250,15.0,3750
"Nov 19, 2023",sql crash course,60,8.0,480
2023-11-20,Python For Beginners,50,10.0,500
2023/11/20,Данные.Наука,200,17.0,3400
20.11.23,Web Dev 101,80,19.0,1520
20/11/2023,Продвинутый ML,250,15.0,3750
20.11.23,SQL БАЗОВЫЙ,60,12.0,720
2023-11-21,Питон для начинающих,50,17.0,850
21.11.23,data science bootcamp,200,11.0,2200
2023-11-21,WEB DEVELOPMENT,80,,1280
21.11.23,машинное обучение+,250,23.0,5750
21.11.23,SQL-Курс,60,12.0,720
22/11/2023,PYTHON-BEGINNERS,50,17.0,850
22.11.23,Data Science BOOTCAMP,200,14.0,2800
22.11.23,Web Dev 101,80,15.0,1200
2023/11/22,ML (уровень 2),250,15.0,3750
22.11.23,Быстрый курс SQL,60,13.0,780
2023-11-23,Python нач,50,15.0,750
2023/11/23,Данные.Наука,200,17.0,3400
23.11.23,web_dev,80,20.0,1600
2023-11-23,ML (уровень 2),250,15.0,3750
2023-11-23,sql crash course,60,21.0,1260
2023-11-24,Python For Beginners,50,9.0,450
2023-11-24,DS Boot,200,8.0,1600
2023/11/24,web_dev,80,16.0,1280
24/11/2023,Продвинутый ML,250,16.0,4000
24.11.23,sql-cc,60,12.0,720
25/11/2023,Питон для начинающих,50,15.0,750
25.11.23,Data Science BOOTCAMP,200,17.0,3400
25.11.23,веб разработка,80,17.0,1360
25/11/2023,ML (уровень 2),250,13.0,3250
"Nov 25, 2023",SQL-Курс,60,27.0,1620
2023/11/26,python for beginners,50,14.0,700
26.11.23,DS Boot,200,19.0,3800
2023/11/26,Web Dev 101,80,13.0,1040
26.11.23,Machine Learning ADV,250,18.0,4500
2023-11-26,SQL БАЗОВЫЙ,60,14.0,840
2023-11-27,Python нач,50,13.0,650
2023/11/27,data science bootcamp,200,17.0,3400
"Nov 27, 2023",Web-разработка,80,14.0,1120
2023-11-27,machine learning advanced,250,11.0,2750
"Nov 27, 2023",Быстрый курс SQL,60,10.0,600
2023/11/28,Питон для начинающих,50,10.0,500
2023/11/28,Data Science BOOTCAMP,200,17.0,3400
2023/11/28,web_dev,80,17.0,1360
"Nov 28, 2023",ML (уровень 2),250,14.0,3500
28.11.23,sql crash course,60,16.0,960
29/11/2023,Питон для начинающих,50,12.0,600
2023/11/29,Data Science BOOTCAMP,200,21.0,4200
2023-11-29,веб разработка,80,14.0,1120
"Nov 29, 2023",machine learning advanced,250,16.0,4000
2023/11/29,SQL БАЗОВЫЙ,60,15.0,900
30.11.23,Питон для начинающих,50,17.0,850
2023-11-30,Data Science BOOTCAMP,200,14.0,2800
30/11/2023,web_dev,80,14.0,1120
2023/11/30,машинное обучение+,250,17.0,4250
2023/11/30,SQL БАЗОВЫЙ,60,16.0,960
"Dec 01, 2023",Питон для начинающих,50,14.0,700
2023-12-01,Data Science BOOTCAMP,200,20.0,4000
"Dec 01, 2023",WEB DEVELOPMENT,80,20.0,1600
"Dec 01, 2023",Machine Learning ADV,250,15.0,3750
2023-12-01,sql crash course,60,10.0,600
2023-12-02,Python For Beginners,50,14.0,700
2023/12/02,Буткемп по Data Science,200,22.0,4400
02.12.23,Web-разработка,80,16.0,1280
02/12/2023,машинное обучение+,250,12.0,3000
02.12.23,SQL БАЗОВЫЙ,60,13.0,780
03/12/2023,Python For Beginners,50,18.0,900
03/12/2023,data science bootcamp,200,16.0,3200
2023-12-03,веб разработка,80,12.0,960
03.12.23,Machine Learning ADV,250,11.0,2750
03/12/2023,SQL БАЗОВЫЙ,60,17.0,1020
"Dec 04, 2023",Python нач,50,14.0,700
2023/12/04,Буткемп по Data Science,200,,2400
04/12/2023,web_dev,80,23.0,1840
2023/12/04,machine learning advanced,250,15.0,3750
04.12.23,sql crash course,60,11.0,660
05/12/2023,Python For Beginners,50,17.0,850
